id,created_at,text,favorites,retweets,entities,language
1351822456906985473,2021-01-20 09:22:44,"Araştırmalara göre, çikolata flavonoidler (prosyanidin) denilen antioksidan maddeler içerir ve bunlar LDL kolestero… https://t.co/DS7iyPX9oY",46,8,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DS7iyPX9oY', 'expanded_url': 'https://twitter.com/i/web/status/1351822456906985473', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351462930047508489,2021-01-19 09:34:06,Covid-19 pandemisi nedeniyle tüm dünyanın yaşadığı bu zorlu süreci aşmamızın umudu; aşılanmak! Acıbadem hastane ve… https://t.co/pL2nCC2kJt,8,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pL2nCC2kJt', 'expanded_url': 'https://twitter.com/i/web/status/1351462930047508489', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",tr
1351462928051019778,2021-01-19 09:34:05,Aşı olduk! Sağlık çalışanlarımız için 5 günde 11.000 Covid-19 aşısı gerçekleştirdik. https://t.co/SMHhXpk0xr,30,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1351462451083161601, 'id_str': '1351462451083161601', 'indices': [85, 108], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1351462451083161601/pu/img/bI3rdPBeYEcAadML.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1351462451083161601/pu/img/bI3rdPBeYEcAadML.jpg', 'url': 'https://t.co/SMHhXpk0xr', 'display_url': 'pic.twitter.com/SMHhXpk0xr', 'expanded_url': 'https://twitter.com/AcibademSaglik/status/1351462928051019778/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 720, 'resize': 'fit'}, 'large': {'w': 720, 'h': 720, 'resize': 'fit'}}}]}",tr
1351178783240413192,2021-01-18 14:45:00,Her lenf bezi büyümesi lenfoma mı demektir? Acıbadem Maslak Hastanesi İç Hastalıkları ve Hematoloji Uzmanı Prof. Dr… https://t.co/zuqKctyXOV,8,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/zuqKctyXOV', 'expanded_url': 'https://twitter.com/i/web/status/1351178783240413192', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351137262155800578,2021-01-18 12:00:00,Rahim ağzı kanserinin nedeni HPV enfeksiyonudur ve HPV enfeksiyonunun en sık görüldüğü yaş grubu 24’tür. Rahim ağzı… https://t.co/LnprKsjqu9,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LnprKsjqu9', 'expanded_url': 'https://twitter.com/i/web/status/1351137262155800578', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1351111433459822592,2021-01-18 10:17:22,"Kar ve buzlu yollarda nasıl yürüyeceğinizi biliyor musunuz? Buz tutan yollarda asla büyük adımlar atmayın, küçük ad… https://t.co/3ylhMOYqMI",23,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3ylhMOYqMI', 'expanded_url': 'https://twitter.com/i/web/status/1351111433459822592', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1350805071316004864,2021-01-17 14:00:00,Sağlıklı bir yaşam için yeterli ve dengeli beslenme planınızı 3 ana ve 3 ara öğün olarak düzenleyin. Öğün atlamanız… https://t.co/gmtQg2eAmb,18,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/gmtQg2eAmb', 'expanded_url': 'https://twitter.com/i/web/status/1350805071316004864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1350771096824369154,2021-01-17 11:45:00,Başınız her ağrıdığında ağrı kesiciye sarılmayın. Sık kullanılan aspirin ve ağrı kesiciler mide zarına zarar verip ülser oluşumunu tetikler.,31,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",tr
1350725798131625985,2021-01-17 08:45:00,"Sinameki çayı kabızlık tedavisinde kullanılabiliyor, ancak bağırsaklarda kronik tembellik oluşturabiliyor ve bırakı… https://t.co/bRI4PaRuiX",18,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bRI4PaRuiX', 'expanded_url': 'https://twitter.com/i/web/status/1350725798131625985', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1350352087713013760,2021-01-16 08:00:00,"Maskeni tak, mesafeni koru, ellerini yıka, geleceği yaşa!
16 Ocak Dünya Hijyen Gününüz kutlu olsun…… https://t.co/cIV5Zn0LYt",72,50,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cIV5Zn0LYt', 'expanded_url': 'https://twitter.com/i/web/status/1350352087713013760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [101, 124]}]}",tr
1350091619547176961,2021-01-15 14:45:00,"Yağ içeriği yüksek gıdalar bağışıklık sisteminizi baskılar, vücut direncinizi azaltabilir. Yemek yaparken kullandığ… https://t.co/EzMeU31lv1",13,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EzMeU31lv1', 'expanded_url': 'https://twitter.com/i/web/status/1350091619547176961', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1350046321328046080,2021-01-15 11:45:00,Grip ve soğuk algınlığında en büyük şikayetlerden biri olan halsizliğe karşı bir şişe maden suyu içebilirsiniz!,29,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",tr
1350001887953743873,2021-01-15 08:48:26,HPV aşıları koruyucu mudur? Acıbadem Üniversitesi Atakent Hastanesi Kadın Hastalıkları ve Doğum Uzmanı Prof. Dr. M.… https://t.co/1cVjbL6ndO,2,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1cVjbL6ndO', 'expanded_url': 'https://twitter.com/i/web/status/1350001887953743873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349740557132824577,2021-01-14 15:30:00,"Kalp sağlığı taraması yaptırarak kalp krizi riskine karşı önlem alabilirsiniz. Bilgi alın 👇
https://t.co/GKQ1SLTPyJ",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/GKQ1SLTPyJ', 'expanded_url': 'https://www.acibadem.com.tr/medikal-teknoloji/force-ct/', 'display_url': 'acibadem.com.tr/medikal-teknol…', 'indices': [92, 115]}]}",tr
1349672608757919747,2021-01-14 11:00:00,"Acıbadem Kadıköy Hastanesi Endokrinoloji Uzmanı Dr. Öğr. Ü. Özlem Sezgin Meriçliler ""adet düzensizliği ve kısırlıkt… https://t.co/EJR79DPeE4",4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/EJR79DPeE4', 'expanded_url': 'https://twitter.com/i/web/status/1349672608757919747', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349624255684759553,2021-01-14 07:47:52,"Diyabet kontrol altında tutulmadığında ayaklarda oluşan diyabetik nöropati; uyuşma, karıncalanma, yanma, üşüme ve h… https://t.co/cmWhyJ5m3F",7,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cmWhyJ5m3F', 'expanded_url': 'https://twitter.com/i/web/status/1349624255684759553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349378170525339649,2021-01-13 15:30:00,"Kuşburnu çayı, yüksek C vitamini içeriğiyle bağışıklık sistemini güçlendirir ve hastalıklara yakalanma riskini azal… https://t.co/LCUrvOEI2M",19,4,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LCUrvOEI2M', 'expanded_url': 'https://twitter.com/i/web/status/1349378170525339649', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349317771503362051,2021-01-13 11:30:00,"Grip tedavisi ile ilgili 1 yanlış ve doğrusu:
Yanlış: Grip tedavisinde tavuk suyu çorba ve bol C vitamini içeren be… https://t.co/WWTmzkd2TK",8,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/WWTmzkd2TK', 'expanded_url': 'https://twitter.com/i/web/status/1349317771503362051', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1349257981209276418,2021-01-13 07:32:25,"Rahim ağzı kanserinin evreleri nelerdir? Acıbadem Altunizade ve Bodrum Hastanesi Kadın Hastalıkları ve Doğum, Jinek… https://t.co/9clVw7kVxp",3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9clVw7kVxp', 'expanded_url': 'https://twitter.com/i/web/status/1349257981209276418', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348600245148647424,2021-01-11 11:58:48,"O, insana hizmet etmeyi, ailesini ve Acıbadem’i çok sevdi; bizler de onu… Aziz hatırası karşısında saygıyla eğiliyo… https://t.co/BciQBGClAu",5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BciQBGClAu', 'expanded_url': 'https://twitter.com/i/web/status/1348600245148647424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348600243726807041,2021-01-11 11:58:48,Genel cerrah olarak uzun yıllar hastalarına hizmet etti. 20 yıl Acıbadem Ailesinin çok sevilen ve saygı duyulan üye… https://t.co/BHK8RGrKTo,5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BHK8RGrKTo', 'expanded_url': 'https://twitter.com/i/web/status/1348600243726807041', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348600242141237250,2021-01-11 11:58:48,"İlk hastanemizin Kurucu Başhekimi, Engin tecrübesiyle mesleğinin Duayeni, Kalplerimizin Sevgili Doktoru ve Yönetici… https://t.co/RLZHwXTtH7",3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RLZHwXTtH7', 'expanded_url': 'https://twitter.com/i/web/status/1348600242141237250', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348600239842848769,2021-01-11 11:58:47,"HATIRASI KALBİMİZDE, İSMİ İLK HASTANEMİZDE YAŞAYACAK!
Acıbadem Kadıköy’e yeni bir isim verdik: Acıbadem Dr. Şinasi… https://t.co/ipGcSwkLNd",15,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ipGcSwkLNd', 'expanded_url': 'https://twitter.com/i/web/status/1348600239842848769', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",tr
1348554324285267973,2021-01-11 08:56:20,"Çoğunlukla kas kaynaklı sorunlardan kaynaklanan oluşan sırt ağrısı, daha ciddi hastalıkların da habercisi olabilir.… https://t.co/tof5AknnfX",7,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/tof5AknnfX', 'expanded_url': 'https://twitter.com/i/web/status/1348554324285267973', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
1348264580758163462,2021-01-10 13:45:00,"Çocuklarda kalp rahatsızlıklarına zemin hazırlayabilen 7 etken: 
▫️ Fast-food yiyecekler
▫️ Düzensiz beslenme
▫️ Ha… https://t.co/olvO2yYl6L",11,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/olvO2yYl6L', 'expanded_url': 'https://twitter.com/i/web/status/1348264580758163462', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",tr
