id,created_at,text,favorites,retweets,entities,language
1162090618870362112,2019-08-15 19:56:08,Arrayit Pinner USA blockbuster consumer lifestyle tests feature doctor-prescribed finger stick microarrays to fine… https://t.co/R9f0g4yZFX,10,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/R9f0g4yZFX', 'expanded_url': 'https://twitter.com/i/web/status/1162090618870362112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1162081327564255232,2019-08-15 19:19:13,Arrayit clinical sales team invited to the top healthcare growth event 2019 Hospital Patient Flow Management Confer… https://t.co/xX2wHCbCNH,5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/xX2wHCbCNH', 'expanded_url': 'https://twitter.com/i/web/status/1162081327564255232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162078213511585792,2019-08-15 19:06:51,Arrayit clinical sales team reports allergy testing services sale to a leading managed health care provider headqua… https://t.co/ITfBF78N8J,6,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ITfBF78N8J', 'expanded_url': 'https://twitter.com/i/web/status/1162078213511585792', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162066904191684609,2019-08-15 18:21:54,Arrayit clinical sales team invited to the top healthcare growth event 14th World Immune Regulation Meeting March 4… https://t.co/5K4v2TLaPD,6,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5K4v2TLaPD', 'expanded_url': 'https://twitter.com/i/web/status/1162066904191684609', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162062500667351040,2019-08-15 18:04:24,Arrayit sales and marketing team reports microarray life sciences reagents sale to a top clinical laboratory leader… https://t.co/bDTaJQP1eU,5,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bDTaJQP1eU', 'expanded_url': 'https://twitter.com/i/web/status/1162062500667351040', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162057457838899200,2019-08-15 17:44:22,Arrayit clinical sales team reports allergy testing services sale to a leading health benefits company headquartere… https://t.co/9Wo50ROCO9,3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9Wo50ROCO9', 'expanded_url': 'https://twitter.com/i/web/status/1162057457838899200', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162051244317237248,2019-08-15 17:19:41,Arrayit clinical sales team reports allergy testing services sale to a top five health benefits company headquarter… https://t.co/D9NPOW18yA,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/D9NPOW18yA', 'expanded_url': 'https://twitter.com/i/web/status/1162051244317237248', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162047006979710977,2019-08-15 17:02:50,Arrayit clinical sales team announces enrollment of a new top healthcare provider in our Patient Data Solutions all… https://t.co/Nkxqa1uXSY,3,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Nkxqa1uXSY', 'expanded_url': 'https://twitter.com/i/web/status/1162047006979710977', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162044908523311104,2019-08-15 16:54:30,Arrayit shipping department ships microarray life sciences reagents sale to DNA testing leader Autogenomics headqua… https://t.co/KL81GV5Gwa,6,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KL81GV5Gwa', 'expanded_url': 'https://twitter.com/i/web/status/1162044908523311104', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162041253795520512,2019-08-15 16:39:59,Arrayit clinical sales team reports 4 allergy testing services sales to a global health care organization headquart… https://t.co/1txxUcqopU,3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1txxUcqopU', 'expanded_url': 'https://twitter.com/i/web/status/1162041253795520512', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162034852050292737,2019-08-15 16:14:32,Arrayit clinical sales team announces enrollment of a new top healthcare clinic in our Patient Data Solutions aller… https://t.co/Nf6S4Pn9T9,3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Nf6S4Pn9T9', 'expanded_url': 'https://twitter.com/i/web/status/1162034852050292737', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162029032369561600,2019-08-15 15:51:25,Arrayit clinical sales team reports 9 allergy testing services sales to a leading health insurance company headquar… https://t.co/E8cSwUl7JI,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/E8cSwUl7JI', 'expanded_url': 'https://twitter.com/i/web/status/1162029032369561600', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1162021983548141569,2019-08-15 15:23:24,"Arrayit clinical sales team reports $284,839 billed for clinical testing services to top health benefits leaders he… https://t.co/CdkMmV2mme",5,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/CdkMmV2mme', 'expanded_url': 'https://twitter.com/i/web/status/1162021983548141569', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161724552935694336,2019-08-14 19:41:31,Arrayit Pinner USA blockbuster consumer lifestyle tests feature doctor-prescribed finger stick microarrays to fine… https://t.co/qNr6DRJO1d,3,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qNr6DRJO1d', 'expanded_url': 'https://twitter.com/i/web/status/1161724552935694336', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1161721593812271105,2019-08-14 19:29:46,Arrayit sales and marketing team reports microarray life sciences reagents sale to biomedical import leader iBio Lo… https://t.co/NW2IeWnXOO,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NW2IeWnXOO', 'expanded_url': 'https://twitter.com/i/web/status/1161721593812271105', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161718519920152576,2019-08-14 19:17:33,Arrayit CLIA clinical team reports medical publication invitation from the editorial manager at the prestigious med… https://t.co/FEdMFHqrcN,4,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FEdMFHqrcN', 'expanded_url': 'https://twitter.com/i/web/status/1161718519920152576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161710016769871873,2019-08-14 18:43:46,Arrayit clinical sales team reports 7 allergy testing services sales to an iconic American health insurance  compan… https://t.co/enJJHYpbCR,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/enJJHYpbCR', 'expanded_url': 'https://twitter.com/i/web/status/1161710016769871873', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161706272711774208,2019-08-14 18:28:53,Arrayit clinical sales team invited to the top healthcare growth event China International BioPharma and Biotechnol… https://t.co/wZDE4EW0zm,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wZDE4EW0zm', 'expanded_url': 'https://twitter.com/i/web/status/1161706272711774208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161699644738428928,2019-08-14 18:02:33,Arrayit clinical sales team invited to the top healthcare growth event sponsored by healthcare marketing leader Bio… https://t.co/UK5SxVExYL,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/UK5SxVExYL', 'expanded_url': 'https://twitter.com/i/web/status/1161699644738428928', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161693377882050560,2019-08-14 17:37:39,Arrayit clinical sales team reports allergy testing services sales to a top leading health benefits company HQ in t… https://t.co/3RKiAqWZyJ,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3RKiAqWZyJ', 'expanded_url': 'https://twitter.com/i/web/status/1161693377882050560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161686999834562560,2019-08-14 17:12:18,Arrayit clinical sales team announces enrollment of a new top healthcare provider in our Patient Data Solutions all… https://t.co/NQV9kwNVdw,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/NQV9kwNVdw', 'expanded_url': 'https://twitter.com/i/web/status/1161686999834562560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161680923684790273,2019-08-14 16:48:09,Arrayit clinical sales team reports allergy testing services sale to a top five managed health care company HQ in t… https://t.co/2KybPhEjLO,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2KybPhEjLO', 'expanded_url': 'https://twitter.com/i/web/status/1161680923684790273', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161675265744883712,2019-08-14 16:25:40,Arrayit clinical sales team reports 4 allergy testing services sales to a top five health benefits company headquar… https://t.co/TBf5CvH6Lw,6,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TBf5CvH6Lw', 'expanded_url': 'https://twitter.com/i/web/status/1161675265744883712', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161669763317129216,2019-08-14 16:03:49,Arrayit clinical sales team announces enrollment of a new top healthcare provider in our Patient Data Solutions all… https://t.co/Sh5kGYSA1X,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Sh5kGYSA1X', 'expanded_url': 'https://twitter.com/i/web/status/1161669763317129216', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161660992784257031,2019-08-14 15:28:57,"Arrayit clinical sales team reports $844,344 billed for clinical testing services to top health benefits companies… https://t.co/BoWG7rIb80",10,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/BoWG7rIb80', 'expanded_url': 'https://twitter.com/i/web/status/1161660992784257031', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1161364424596176896,2019-08-13 19:50:30,Arrayit Pinner USA blockbuster consumer lifestyle tests feature doctor-prescribed finger stick microarrays to fine… https://t.co/IdheIBzfHj,3,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IdheIBzfHj', 'expanded_url': 'https://twitter.com/i/web/status/1161364424596176896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1161353125296345088,2019-08-13 19:05:36,Arrayit clinical sales team announces enrollment of a new top healthcare provider in our Patient Data Solutions all… https://t.co/uZkCjlBAih,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uZkCjlBAih', 'expanded_url': 'https://twitter.com/i/web/status/1161353125296345088', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1161344315433443328,2019-08-13 18:30:36,Arrayit senior management invited to one-on-one institutional investor meetings during the Capital Markets Conferen… https://t.co/KSX0F8WGKq,5,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KSX0F8WGKq', 'expanded_url': 'https://twitter.com/i/web/status/1161344315433443328', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
