id,created_at,text,favorites,retweets,entities,language
1351828871524585473,2021-01-20 09:48:13,RT @LondonFire: Firefighters rescued two animals a day in #London in 2020 which is an increase on the previous three years.  These included…,0,3,"{'hashtags': [{'text': 'London', 'indices': [58, 65]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LondonFire', 'name': 'London Fire Brigade', 'id': 180779476, 'id_str': '180779476', 'indices': [3, 14]}], 'urls': []}",en
1351104777418108931,2021-01-18 09:50:55,RT @NICUHandtoHold: What does bonding look like once you come home from the NICU? https://t.co/oEkhgMLX1L #beyondtheNICU #NICUgraduate http…,0,1,"{'hashtags': [{'text': 'beyondtheNICU', 'indices': [106, 120]}, {'text': 'NICUgraduate', 'indices': [121, 134]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NICUHandtoHold', 'name': 'Hand to Hold', 'id': 150787266, 'id_str': '150787266', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/oEkhgMLX1L', 'expanded_url': 'https://bit.ly/3sjrK57', 'display_url': 'bit.ly/3sjrK57', 'indices': [82, 105]}]}",en
1350009287825911808,2021-01-15 09:17:50,RT @NICUHandtoHold: The Real Impact of Peer Support in the NICU: Jack &amp; Andrea https://t.co/zg6QrCSAKY #NICU #prematurity #preemie #preemie…,0,2,"{'hashtags': [{'text': 'NICU', 'indices': [107, 112]}, {'text': 'prematurity', 'indices': [113, 125]}, {'text': 'preemie', 'indices': [126, 134]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NICUHandtoHold', 'name': 'Hand to Hold', 'id': 150787266, 'id_str': '150787266', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/zg6QrCSAKY', 'expanded_url': 'https://bit.ly/3rBYXIq', 'display_url': 'bit.ly/3rBYXIq', 'indices': [83, 106]}]}",en
1349290154540867584,2021-01-13 09:40:16,RT @LondonFire: Firefighters rescued a dog from a #Kennington house fire in #December &amp; administered first aid. The pooch was reunited with…,0,4,"{'hashtags': [{'text': 'Kennington', 'indices': [50, 61]}, {'text': 'December', 'indices': [76, 85]}], 'symbols': [], 'user_mentions': [{'screen_name': 'LondonFire', 'name': 'London Fire Brigade', 'id': 180779476, 'id_str': '180779476', 'indices': [3, 14]}], 'urls': []}",en
1348556186543644679,2021-01-11 09:03:44,RT @NICUHandtoHold: NICU Milestones: The First Bottle in the NICU https://t.co/OlvZJJMI9m https://t.co/4O3SzSijLF,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NICUHandtoHold', 'name': 'Hand to Hold', 'id': 150787266, 'id_str': '150787266', 'indices': [3, 18]}], 'urls': [{'url': 'https://t.co/OlvZJJMI9m', 'expanded_url': 'https://bit.ly/2GEuVRB', 'display_url': 'bit.ly/2GEuVRB', 'indices': [66, 89]}], 'media': [{'id': 1346545779142488065, 'id_str': '1346545779142488065', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/Eq_kQHeW8AEfvFc.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eq_kQHeW8AEfvFc.jpg', 'url': 'https://t.co/4O3SzSijLF', 'display_url': 'pic.twitter.com/4O3SzSijLF', 'expanded_url': 'https://twitter.com/NICUHandtoHold/status/1346545781147316225/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'large': {'w': 1024, 'h': 512, 'resize': 'fit'}, 'small': {'w': 680, 'h': 340, 'resize': 'fit'}}, 'source_status_id': 1346545781147316225, 'source_status_id_str': '1346545781147316225', 'source_user_id': 150787266, 'source_user_id_str': '150787266'}]}",en
1348548396815159298,2021-01-11 08:32:47,"@VladimirPetelca Hi Vladimir Petelca, 

Thank you for reaching out to us and for your interest in Dräger.
Please fi… https://t.co/WHFQBOMhwP",0,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VladimirPetelca', 'name': 'Vladimir Petelca', 'id': 3890437749, 'id_str': '3890437749', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/WHFQBOMhwP', 'expanded_url': 'https://twitter.com/i/web/status/1348548396815159298', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346789116688662528,2021-01-06 12:02:02,"One week to go, join us online at the AAGBI WSM. There's still time to book your tickets. Click here… https://t.co/qSFMTThpGS",1,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qSFMTThpGS', 'expanded_url': 'https://twitter.com/i/web/status/1346789116688662528', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}",en
1346124469425856515,2021-01-04 16:00:57,Happy New Year from all of us here at Dräger! We're back in the office and hope the holiday season filled your home… https://t.co/Dvs9cnodnG,21,1,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Dvs9cnodnG', 'expanded_url': 'https://twitter.com/i/web/status/1346124469425856515', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1346080994760282112,2021-01-04 13:08:12,@keithasselborn @Adobe We are still working on a non-Flash version of our existing online simulators. What we can a… https://t.co/E3IKGXHlNk,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'keithasselborn', 'name': 'Keith Asselborn', 'id': 164013414, 'id_str': '164013414', 'indices': [0, 15]}, {'screen_name': 'Adobe', 'name': 'Adobe', 'id': 63786611, 'id_str': '63786611', 'indices': [16, 22]}], 'urls': [{'url': 'https://t.co/E3IKGXHlNk', 'expanded_url': 'https://twitter.com/i/web/status/1346080994760282112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339964072566112256,2020-12-18 16:01:44,"May your Christmas sparkle with moments of love, laughter and goodwill. 🎄🎅🎇 Looking back, 2020 was special and dema… https://t.co/1OY4GMyV4n",13,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/1OY4GMyV4n', 'expanded_url': 'https://twitter.com/i/web/status/1339964072566112256', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1339903747586224130,2020-12-18 12:02:02,"As Your Specialist in Acute Care, Dräger are proud to support the AAGBI WSM. Click here to book your tickets now… https://t.co/l1jIRtX4dP",2,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/l1jIRtX4dP', 'expanded_url': 'https://twitter.com/i/web/status/1339903747586224130', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",en
1339886653607981057,2020-12-18 10:54:06,"RT @SA_MFS: Ho Ho Ho! 

The MFS #Children's #XmasParty involves 1 of the grandest entrances #Santa could make.

To protect Santa &amp; his elve…",0,1,"{'hashtags': [{'text': 'Children', 'indices': [32, 41]}, {'text': 'XmasParty', 'indices': [44, 54]}, {'text': 'Santa', 'indices': [92, 98]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SA_MFS', 'name': 'SA Metropolitan Fire', 'id': 195980966, 'id_str': '195980966', 'indices': [3, 10]}], 'urls': []}",en
1339669198579089411,2020-12-17 20:30:01,Retired orchestra teacher receiving oxygen from a Dräger #ventilator while battling #COVID19 plays violin for… https://t.co/42BbptgQq8,9,2,"{'hashtags': [{'text': 'ventilator', 'indices': [57, 68]}, {'text': 'COVID19', 'indices': [84, 92]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/42BbptgQq8', 'expanded_url': 'https://twitter.com/i/web/status/1339669198579089411', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",en
1339613872248991744,2020-12-17 16:50:10,#LTAC Administrators: Here are 4 key factors to consider when selecting a medical equipment supplier that can help… https://t.co/soZmM9bCI5,1,0,"{'hashtags': [{'text': 'LTAC', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/soZmM9bCI5', 'expanded_url': 'https://twitter.com/i/web/status/1339613872248991744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1339549709057339393,2020-12-17 12:35:12,RT @NICUHandtoHold: What tips would you share with #breastfeeding moms in the #NICU? The Roller Coaster of Breastfeeding in the NICU https:…,0,2,"{'hashtags': [{'text': 'breastfeeding', 'indices': [51, 65]}, {'text': 'NICU', 'indices': [78, 83]}], 'symbols': [], 'user_mentions': [{'screen_name': 'NICUHandtoHold', 'name': 'Hand to Hold', 'id': 150787266, 'id_str': '150787266', 'indices': [3, 18]}], 'urls': []}",en
1339541906146123776,2020-12-17 12:04:12,"As Your Specialist in Acute Care, the Vista 120 portfolio was engineered to meet your clinical needs and stay withi… https://t.co/XmVsjlAd4C",7,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XmVsjlAd4C', 'expanded_url': 'https://twitter.com/i/web/status/1339541906146123776', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
