id,created_at,text,favorites,retweets,entities,language
1351685208672788480,2021-01-20 00:17:21,"RT @CNNOpinion: .@BernieSanders writes, ""Amid so much economic suffering and despair... it is imperative that Democrats pass a bold and agg…",0,433,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CNNOpinion', 'name': 'CNN Opinion', 'id': 259074538, 'id_str': '259074538', 'indices': [3, 14]}, {'screen_name': 'BernieSanders', 'name': 'Bernie Sanders', 'id': 216776631, 'id_str': '216776631', 'indices': [17, 31]}], 'urls': []}",en
1351668009849520130,2021-01-19 23:09:00,"Joe Biden will inherit from Trump: The worst economy since the Great Depression, the worst public health crisis in… https://t.co/C9VB2665Al",130900,21575,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/C9VB2665Al', 'expanded_url': 'https://twitter.com/i/web/status/1351668009849520130', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",en
1351641764264882177,2021-01-19 21:24:43,"Today is the last full day of the worst and most dangerous president in American history.  

For four years Trump h… https://t.co/qFQAILM7XU",91057,10646,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qFQAILM7XU', 'expanded_url': 'https://twitter.com/i/web/status/1351641764264882177', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351319691441168384,2021-01-19 00:04:55,"""When machines and computers, profit motives and property rights are considered more important than people, the gia… https://t.co/pTlhMw7ZGY",19152,3135,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/pTlhMw7ZGY', 'expanded_url': 'https://twitter.com/i/web/status/1351319691441168384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1351274558079303680,2021-01-18 21:05:34,"“This country has socialism for the rich, rugged individualism for the poor."" -Martin Luther King, Jr.",342135,54106,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",en
1350988139658149890,2021-01-18 02:07:27,The Keystone pipeline is &amp; always has been a disaster. I'm delighted that Joe Biden will cancel the Keystone permit… https://t.co/qK12VI6Amd,67959,7590,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qK12VI6Amd', 'expanded_url': 'https://twitter.com/i/web/status/1350988139658149890', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]}",en
1350882206944735232,2021-01-17 19:06:30,"In this unprecedented moment – a pandemic, an economic meltdown, right wing violence, climate change, massive wealt… https://t.co/sQJULWUioI",32591,4179,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sQJULWUioI', 'expanded_url': 'https://twitter.com/i/web/status/1350882206944735232', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350852990635274246,2021-01-17 17:10:25,"For too long our country has prioritized corporate profits, tax cuts for the rich and military spending over invest… https://t.co/SJlHlMR9c0",31646,6183,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SJlHlMR9c0', 'expanded_url': 'https://twitter.com/i/web/status/1350852990635274246', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350584617682796547,2021-01-16 23:24:00,When Republicans controlled the Senate they used the reconciliation process to provide huge tax breaks for the rich… https://t.co/rf6g5IB6ZA,95448,12497,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rf6g5IB6ZA', 'expanded_url': 'https://twitter.com/i/web/status/1350584617682796547', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
1350548268959358982,2021-01-16 20:59:33,"Nearly 400,000 Americans have died from the coronavirus and the pandemic continues to soar. We need to aggressively… https://t.co/uEmvx3xA1j",17064,2062,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uEmvx3xA1j', 'expanded_url': 'https://twitter.com/i/web/status/1350548268959358982', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",en
